group	ada	issue_date	publish_date	status	corrected	subject	amounts	afms	adams	url
hospital_group_99221950	61Γ246907Τ-1Λ6	2024-12-03T00:00:00+00:00	2024-12-05T10:24:16.965000+00:00	PUBLISHED		«Έγκριση πρακτικού επιτροπής διαπραγμάτευσης, χωρίς προηγούμενη δημοσίευση σύμφωνα με τις διατάξεις του άρθρου 32 παράγραφος 2α και β (ββ), του ν 4412/2016 και της Οδηγίας 2014/24/ΕΕ, για την ανάθεση σύμβασης συντήρησης (CPV 72261000-2) για την εφαρμογή του Ταμείου ασθενών του Ψυχιατρικού τομέα του Γενικού Νοσοκομείου Χανίων» για τρία έτη με δικαίωμα προαίρεσης για ένα επιπλέον έτος.»			24PROC015569494,24REQ015465435,24REQ015549050	https://diavgeia.gov.gr/doc/61Γ246907Τ-1Λ6
hospital_group_99221950	62ΓΣ46907Τ-ΕΜ8	2026-06-05T00:00:00+00:00	2026-06-09T07:09:53.149000+00:00	PUBLISHED		«Έγκριση πρακτικού επιτροπής διαπραγμάτευσης χωρίς προηγούμενη δημοσίευση σύμφωνα με τις διατάξεις του άρθρου 32 του ν 4412/2016 και της Οδηγίας 2014/24/ΕΕ, για την προμήθεια υλικών και επισκευή του video γαστροσκοπίου EG-2990i S/NQ002UZ0389 του οίκου Pentax του Γαστρεντερολογικού – Ενδοσκοπικού Τμήματος του Γενικού Νοσοκομείου Χανιών.»	8.060,00			https://diavgeia.gov.gr/doc/62ΓΣ46907Τ-ΕΜ8
hospital_group_99221950	9ΠΩΨ46907Τ-1Υ2	2026-06-05T00:00:00+00:00	2026-06-09T08:45:51.730000+00:00	PUBLISHED		«Έγκριση πρακτικού επιτροπής διαπραγμάτευσης χωρίς προηγούμενη δημοσίευση σύμφωνα με τις διατάξεις του άρθρου 32 του Ν.4412/2016 και της Οδηγίας 2014/24/ΕΕ, για την προμήθεια υλικών και υπηρεσίας της «ΤΑΚΤΙΚΗΣ-ΠΡΟΛΗΠΤΙΚΗΣ ΣΥΝΤΗΡΗΣΗΣ ΤΩΝ ΚΕΝΤΡΩΝ ΠΕΠΙΕΣΜΕΝΟΥ ΑΕΡΑ ΚΑΙ ΚΕΝΟΥ» του Γενικού Νοσοκομείου Χανιών.»	8.262,80,8.342,80			https://diavgeia.gov.gr/doc/9ΠΩΨ46907Τ-1Υ2
hospital_group_99221950	ΡΩΑΑ46907Τ-ΗΧΦ	2026-06-05T00:00:00+00:00	2026-06-09T07:35:16.806000+00:00	PUBLISHED		«Έγκριση πρακτικού επιτροπής διαπραγμάτευσης χωρίς προηγούμενη δημοσίευση σύμφωνα με τις διατάξεις του άρθρου 32 του Ν. 4412/2016 και της Οδηγίας 2014/24/ΕΕ, για την επισκευή με αντικατάσταση του video Κoλονοσκοπίου EC-3890Li S/N K110189 του οίκου Pentax του Γαστρεντερολογικού – Ενδοσκοπικού Τμήματος του Γενικού Νοσοκομείου Χανιών.»				https://diavgeia.gov.gr/doc/ΡΩΑΑ46907Τ-ΗΧΦ
hospital_group_99222005	65Ν246906Ρ-ΣΣ5	2024-12-20T00:00:00+00:00	2025-01-21T13:09:43.803000+00:00	PUBLISHED		ΘΕΜΑ 24 : Έγκριση της προσφυγής στη Διαδικασία με Διαπραγμάτευση χωρίς προηγούμενη δημοσίευση, για το διαγωνισμό με τίτλο: «Συντήρηση με ανταλλακτικά (total care), είκοσι (20) Monitors Draeger Infinity C700 και δύο (2) Κεντρικών Σταθμών Παρακολούθησης Draeger Infinity Central Station Wide», (CPV: 50421000-2), του Ακτινοθεραπευτικού Τμήματος, προϋπολογιζόμενης συνολικής δαπάνης 64.728,00€ (συμπεριλαμβανομένου Φ.Π.Α. 24%), για δύο έτη και με δυνατότητα ετήσιας παράτασης, στην εταιρεία: «Draeger He	64.728,00			https://diavgeia.gov.gr/doc/65Ν246906Ρ-ΣΣ5
hospital_group_99222005	6ΧΞΛ46906Ρ-ΣΨ0	2025-11-17T00:00:00+00:00	2026-01-12T10:47:36.890000+00:00	PUBLISHED		ΘΕΜΑ 23 : Έγκριση της προσφυγής στη Διαδικασία με Διαπραγμάτευση χωρίς προηγούμενη δημοσίευση, για την παροχή υπηρεσιών με τίτλο: «Ετήσια συντήρηση Αξονικού Τομογράφου GE CT LIGHTSPEED RT16 με ID H2194CT04, με ανταλλακτικά συμπεριλαμβανομένης της ακτινολογικής λυχνίας», (CPV: 50421000-2), του Ακτινοθεραπευτικού Τμήματος, προϋπολογιζόμενης συνολικής δαπάνης 59.999,88€ (συμπεριλαμβανομένου Φ.Π.Α.), με την εξουσιοδοτημένη εταιρεία στην Ελλάδα: «GE HEALTHCARE Α.Ε.».	59.999,88	094472918		https://diavgeia.gov.gr/doc/6ΧΞΛ46906Ρ-ΣΨ0
hospital_group_99222005	Ρ2ΙΩ46906Ρ-ΗΣΟ	2024-06-26T00:00:00+00:00	2024-07-29T12:13:57.599000+00:00	PUBLISHED		ΘΕΜΑ 12 : Έγκριση της προσφυγής στη Διαδικασία με Διαπραγμάτευση χωρίς προηγούμενη δημοσίευση, για το διαγωνισμό με τίτλο «Ανταλλακτικά Γραμμικού Επιταχυντή Elekta Synergy με sn: 152014», (CPV: 50421000-2), του Ακτινοθεραπευτικού Τμήματος, προϋπολογιζόμενης συνολικής δαπάνης 106.334,10€ (συμπεριλαμβανομένου Φ.Π.Α.).	106.334,10,85.753,30			https://diavgeia.gov.gr/doc/Ρ2ΙΩ46906Ρ-ΗΣΟ
hospital_group_99222000	6996469067-ΡΔ2	2024-02-12T00:00:00+00:00	2024-08-23T07:18:05.785000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 162/24.1.2024 απόφασης του κ. Αντωνάκη Νι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την Την επικύ¬ρωση του από 19.1.2024 Πρακτικού αποσφράγισης και του από 24.1.2024 Πρακτικού αξιολόγησης της υπ΄ αριθ. 387973 ηλεκτρονικής προσφο¬ράς που κατέθεσε η εταιρεία IPIROTIKI FACILITY SERVICES S.A. με τον δια¬κρι¬τικό τίτλο «IFS IPIROTIKI FACILITY SERVICES SΑ», στην 5/2024 δι¬απραγμάτευση χωρίς προηγούμενη δημοσίευση για την ανάθεση των «Διανομής και Παρασκευής Φαγητού» του Νο	171.039,00,171.042,21,212.088,36,212.092,34,57.013,00,57.014,07,70.696,12	998309282		https://diavgeia.gov.gr/doc/6996469067-ΡΔ2
hospital_group_99222000	699Ξ469067-Ο6Χ	2024-06-13T00:00:00+00:00	2024-08-22T07:12:18.892000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 913/10.5.2024 απόφασης του κ. Αντωνάκη ι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με τηνδιενέργεια δια¬πραγμάτευσης με την εταιρεία ΒIOTRANS A.E., σύμφωνα με τις διατάξεις του άρθρου 32, του Ν. 4412/2016 «Προσφυγή στη διαδικασία με δια¬πραγμάτευση χωρίς προηγούμενη δημοσίευση» (άρθρο 32 της Οδηγίας 2014/24/ΕΕ), παρ. 2, περ. β, υποπερ. ββ) για χρονικό διάστημα έξι (6) μηνών, συνολικής προϋπολογιζόμενης δαπάνης 43.200,00 € χωρίς Φ.Π.Α. και 53.568,00 € με Φ.Π.Α. 24%, για 	115.200,00,142.848,00,28.800,00,35.712,00,43.200,00,53.568,00,57.600,00,71.424,00		22SYMV010037982	https://diavgeia.gov.gr/doc/699Ξ469067-Ο6Χ
hospital_group_99222000	6ΙΥΘ469067-ΞΟΕ	2024-02-12T00:00:00+00:00	2024-08-23T06:52:22.595000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 105/17.1.2024 απόφασης του κ. Αντωνάκη Νι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την επικύρωση του από 16.1.2024 Πρακτικού αποσφράγισης και αξιολόγησης της Επι¬τροπής διενέργειας και αξιολόγησης της ηλεκτρονικής διαπραγμάτευση με αριθ. διακ. 2/2024, με χρήση της πλατφόρμας του Εθνικού Συστή¬ματος Ηλε¬κτρονικών Δημοσίων Συμβάσεων (ΣΑ 299311) μέσω της δια¬δικτυακής πύλης www.promitheus.gov.gr, για την ανάθεση υπηρεσιών «ΑΠΟΚΟ¬ΜΙΔΗΣ, ΜΕΤΑΦΟΡΑΣ ΚΑΙ ΔΙΑΘΕΣΗΣ ΝΟΣΟΚΟΜΕΙΑ	0,67,0,70,0,75,1,70,1,85,10.822,97,189.017,53,197.745,73,2.517,75,234.381,74,245.204,71,6.210,45,8.728,20,92.439,23,94.956,98,96.578,30			https://diavgeia.gov.gr/doc/6ΙΥΘ469067-ΞΟΕ
hospital_group_99222000	96ΙΔ469067-ΓΓΝ	2024-02-12T00:00:00+00:00	2024-08-23T07:41:00.482000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 235/1.2.2024 απόφασης του κ. Αντωνάκη Νι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την έγκριση διενέρ¬γειας διαπραγμάτευσης, με την εταιρεία COMPUTER TEAM AEBE, σύμ¬φωνα με τις διατάξεις του άρθρου 32, του Ν. 4412/2016 «Προσφυγή στη δια¬δικασία με διαπραγμάτευση χωρίς προηγούμενη δημοσίευση» (άρθρο 32 της Οδη¬γίας 2014/24/ΕΕ), παρ. 2, περ. β, υποπερ. ββ) και γγ), ετήσιας προϋπολογιζόμενης δαπάνης 188.459,16 € χωρίς Φ.Π.Α. και 233.689,32 € με Φ.Π.Α. 24%, για την ανά¬θ	188.459,16,212.040,00,233.689,32,503.937,10			https://diavgeia.gov.gr/doc/96ΙΔ469067-ΓΓΝ
hospital_group_99222000	9818469067-ΦΝΥ	2026-06-29T00:00:00+00:00	2026-07-02T07:50:53.982000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 1504/19.6.2026 απόφασης του κ. Αντωνάκη Νι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την ανάθεση της επισκευής και συντήρησης του Αξονικού Τομογράφου GE CT660 OPTIMA με ανταλλακτικά, στην εταιρεία GE HEALTHCARE ΦΑΡΜΑΚΕΥ¬ΤΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ, για χρονικό διάστημα δύο (2) μηνών, συνολικής προϋπολογιζόμενης δαπάνης 6.048,32 € χω¬ρίς Φ.Π.Α. και 7.499,92 € με Φ.Π.Α. 24%, σύμφωνα με τις παρ. 1, 2, 3 και 4 του άρθρου 118 του Ν. 4412/2016 και τους όρους της	119.223,31,147.836,90,6.048,32,7.499,92	094472918	25PROC017376406,25SYMV017586343	https://diavgeia.gov.gr/doc/9818469067-ΦΝΥ
hospital_group_99222000	9ΛΥ8469067-Δ9Ω	2024-06-13T00:00:00+00:00	2024-08-22T07:23:37.248000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 1079/31.5.2024 απόφασης του κ. Αντωνάκη Νι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την επικύρωση του από 31.5.2024 Πρακτικού αποσφράγισης και ελέγχου της υπ’ αριθμ. 404729 ηλεκτρονικής προσφοράς που κατέθεσε η εταιρεία IPIROTIKI FACILITY SERVICES SA, στην υπ’ αριθμ. 84/2024 διαπραγμάτευση χωρίς προηγού¬μενη δημοσίευση, σύμφωνα με τις διατάξεις του άρθρου 32, του Ν. 4412/2016, για την ανάθεση «ΥΠΗΡΕΣΙΩΝ ΚΑΘΑΡΙΣΜΟΥ ΚΤΙΡΙΩΝ» του Νοσοκομείου και της Αποκεντρωμένης Οργα	106.512,66,163.402,00,163.403,00,202.618,48,202.619,72,26.809,24	998309282		https://diavgeia.gov.gr/doc/9ΛΥ8469067-Δ9Ω
hospital_group_99222000	9ΦΤΧ469067-Σ4Χ	2024-06-13T00:00:00+00:00	2024-08-22T07:14:32.502000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 1043/24.5.2024 απόφασης του κ. Αντωνάκη Νικόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την επικύρωση του από 22.5.2024 Πρακτικού αποσφράγισης και αξιολόγησης της προσφο¬ράς που κατέθεσε η εταιρία της εταιρίας ΜΠΑΪΟΤΡΑΝΣ Α.Ε., για την ανάθεση των «Υπηρεσιών Τραπεζών Αίματος (μεταφορά αίματος και βιο¬λογικών δειγμάτων) (CPV:85146000-4)», για χρονικό διάστημα έξι (6) μηνών	1,50,43.200,00,53.568,00	999506681	24PROC014773974	https://diavgeia.gov.gr/doc/9ΦΤΧ469067-Σ4Χ
hospital_group_99222000	9Ψ3Τ469067-ΧΧΙ	2024-05-22T00:00:00+00:00	2024-08-22T10:18:09.400000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 976/17.5.2024 απόφασης του κ. Αντωνάκη Νι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την επικύρωση του από 17.5.2024 Πρακτικού αποσφράγισης και αξιολόγησης της Επιτροπής διενέργειας και αξιολόγησης της ηλεκτρονικής διαπραγμάτευση με αριθ. διακ. 77/2024, με χρήση της πλατφόρμας του Εθνικού Συστήματος Ηλε¬κτρονικών Δημοσίων Συμβάσεων (ΣΑ 350574) μέσω της διαδικτυακής πύλης www.promitheus.gov.gr, για την ανάθεση υπηρεσιών «ΑΠΟΚΟ¬ΜΙΔΗΣ, ΜΕΤΑΦΟ¬ΡΑΣ ΚΑΙ ΔΙΑΘΕΣΗΣ ΝΟΣΟΚΟΜΕΙΑΚ	0,67,0,70,0,75,1,70,1,85,10.080,20,10.822,97,115.202,88,118.808,49,12.499,45,120.361,22,129.255,06,189.017,53,189.971,05,197.745,73,200.051,25,234.381,74,235.564,10,245.204,71,248.063,55			https://diavgeia.gov.gr/doc/9Ψ3Τ469067-ΧΧΙ
hospital_group_99222000	ΡΠΣΕ469067-ΨΞ8	2024-05-22T00:00:00+00:00	2024-08-22T10:01:16.927000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 905/9.5.2024 απόφασης του κ. Αντωνάκη Νι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την επικύρωση του από 9.5.2024 Πρακτικού αποσφράγισης και ελέγχου της υπ’ αριθμ. 350016 ηλεκτρονικής προσφοράς που κατέθεσε η εταιρεία IPIROTIKI FACILITY SERVICES SA, στην υπ’ αριθμ. 70/2024 διαπραγμάτευση χωρίς προηγούμενη δημοσίευση, σύμφωνα με τις διατάξεις του άρθρου 32 του Ν. 4412/2016, για την ανάθεση «ΥΠΗΡΕΣΙΩΝ ΚΑΘΑΡΙΣΜΟΥ ΚΤΙΡΙΩΝ» του Νοσοκομείου και της Αποκεντρωμένης Οργανικής	106.512,66,163.403,00,163.403,80,202.619,72,202.620,71,26.809,24	998309282		https://diavgeia.gov.gr/doc/ΡΠΣΕ469067-ΨΞ8
hospital_group_99222000	Ψ9ΗΡ469067-7ΞΕ	2024-06-13T00:00:00+00:00	2024-08-22T07:25:18.067000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 1082/31.5.2024 απόφασης του κ. Αντωνάκη ι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την επικύρωση του από 31.5.2024 Πρακτικού αποσφράγισης και αξιολόγησης των προσφο¬ρών της Επιτροπής διενέργειας της ηλεκτρονικής διαπραγμάτευσης με αρ. διακ. 86/2024, για την ανάθεση των «ΥΠΗΡΕΣΙΩΝ ΣΙΔΕΡΩΤΗΡΙΟΥ» (CPV 98315000-4), με ΣΑ ΕΣΗΔΗΣ 352448, για την κάλυψη αναγκών του Γενικού Νοσοκομείου Θεσσαλονίκης «ΙΠΠΟΚΡΑΤΕΙΟ», για έξι (6) μήνες, με την εταιρεία Δ. ΜΕΓΡΕΜΗΣ - Α. ΚΥΡΙΑΚΙΔΟ	125.241,83,155.299,87	998522935	24PROC014843785	https://diavgeia.gov.gr/doc/Ψ9ΗΡ469067-7ΞΕ
hospital_group_99222000	ΨΒΑ0469067-ΗΑ9	2024-06-13T00:00:00+00:00	2024-08-22T07:16:09.537000+00:00	PUBLISHED		Επικύρωση της με αριθμ. 1045/24.5.2024 απόφασης του κ. Αντωνάκη Νι¬κόλαου, Διοικητή του Νοσοκομείου, αναφορικά με την προσφυγή στη διαδικασία της διαπραγμάτευσης χωρίς προηγούμενη δημοσί¬ευση, μέσω του ΕΣΗΔΗΣ, σύμφωνα με τις διατάξεις του άρθρου 32, του Ν. 4412/2016, για την ανάθεση «ΥΠΗΡΕΣΙΕΣ ΚΑΘΑΡΙΣΜΟΥ ΚΤΙΡΙΩΝ» του Νοσοκο¬μείου και της Αποκεντρωμένης Οργανικής Μονάδας του Νοσοκο¬μείου Αφροδίσιων και Δερματικών Νόσων Θεσσαλονίκης, (CPV 90911200-8), με απασχολούμενο προσωπικό 110 ατόμων συνολικώ	163.403,00,163.403,80,2.443.390,06,2.476.816,26,202.619,72,209.000,00,26.326,20,7.100,00		24SYMV014612359	https://diavgeia.gov.gr/doc/ΨΒΑ0469067-ΗΑ9
